AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	anonymized_name_s	body_habitat_s	body_product_s	body_site_s	env_feature_s	env_material_s	env_package_s	host_common_name_s	host_scientific_name_s	host_subject_id_s	host_taxid_s	sample_type_s	sex_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Platform_s	ReleaseDate_s	SRA_Study_s	age_unit_s	collection_timestamp_s	dna_extracted_s	elevation_s	env_biome_s	geo_loc_name_s	latitude_s	longitude_s	physical_specimen_location_s	physical_specimen_remaining_s	project_name_s	public_s	title_s
227	SAMEA103983642	ERX2002823	393.M1Mose396	indoor metagenome	ERR1942290	ERS1672810	qiita_sid_393:393.M1Mose396	Not applicable	M1Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	M1	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
214	SAMEA103983643	ERX2002824	393.M1Plmr396	human skin metagenome	ERR1942291	ERS1672811	qiita_sid_393:393.M1Plmr396	37	M1Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	M1	9606	right palm	male	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
223	SAMEA103983644	ERX2002825	393.M2Mose396	indoor metagenome	ERR1942292	ERS1672812	qiita_sid_393:393.M2Mose396	Not applicable	M2Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	M2	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
224	SAMEA103983645	ERX2002826	393.M2Plmr396	human skin metagenome	ERR1942293	ERS1672813	qiita_sid_393:393.M2Plmr396	34	M2Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	M2	9606	right palm	male	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
225	SAMEA103983646	ERX2002827	393.M7Mose396	indoor metagenome	ERR1942294	ERS1672814	qiita_sid_393:393.M7Mose396	Not applicable	M7Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	M7	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
215	SAMEA103983647	ERX2002828	393.M7Plmr396	human skin metagenome	ERR1942295	ERS1672815	qiita_sid_393:393.M7Plmr396	Missing: Not provided	M7Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	M7	9606	right palm	male	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
229	SAMEA103983648	ERX2002829	393.M8Mose396	indoor metagenome	ERR1942296	ERS1672816	qiita_sid_393:393.M8Mose396	Not applicable	M8Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	M8	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
212	SAMEA103983649	ERX2002830	393.M8Plmr396	human skin metagenome	ERR1942297	ERS1672817	qiita_sid_393:393.M8Plmr396	Missing: Not provided	M8Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	M8	9606	right palm	male	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
222	SAMEA103983650	ERX2002831	393.M9Mose396	indoor metagenome	ERR1942298	ERS1672818	qiita_sid_393:393.M9Mose396	Not applicable	M9Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	M9	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
218	SAMEA103983651	ERX2002832	393.M9Plmr396	human skin metagenome	ERR1942299	ERS1672819	qiita_sid_393:393.M9Plmr396	25	M9Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	M9	9606	right palm	male	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
